,full_text,Text_English
76,usik takut kalah,Usik was afraid of losing
78,cacat hukum,legally flawed
79,si uban,The Uban
80,sarjana hukum ugm lulus sih,UGM Law graduate graduated
81,difikirkan warga gunung kendeng wadas kek pikir putus mk ,Thinking about the residents of Mount Kendeng Wadas Kek thinking about the MK
82,tidak ush takut visi misi gagas bagus rakyat milih tidak ush pakai prihatin tangan rakyat usaha uu ampas aset bikin statement ,"not afraid of the vision and mission of the good idea of ​​the people, not to use the people's concerned"
83,anak president,president child
84,galau was was takut kalah ,confusion was afraid of losing
85,ganjar sarjana hukum persis hukum,Ganjar Bachelor of Law Persis Law
86,potensi curang,cheating potential
87,lemah lo broooo cemeeeen cupuuuu too bad titik jatuh pdip youll be part of it,LOOK LO BROOOO CEMEEEEN CUPUUUUU TO BAD FALL POINT
88,mental dab,Mental Dab
89,kuasa intervensi yudikatif kalimat,judicial intervention power sentence
90,nang jare banteng lha nang hasto nang rudy nang mbok koyo jokowi hujat fitnah beliau tetep senyum santai,Nang Jare Banteng Lha Nang Hasto Nang Rudy Nang Mbok Koyo Jokowi Hujat Slander He still smiles casually
91,bahaya iki njar,Dangers of Iki Njar
92,sarjana hukum ,Bachelor of Law
