,Unnamed: 0,full_text,Text_English,Polarity,Score
27,27,aneh emng nya laku orng ilegal dokumen tanda tangan dah terbit,"strangely, the illegal document is signed by the signature",-0.275,negative
28,28,biasabiarkan ya gpp rilis surve amblessssakhirnya bilangini usik,"usually gpp released survey ambesssss, say this is usik",-0.25,negative
29,29,pilpres pakai drama berjilidjilid korban negara,presidential election uses a military -based drama of the country's victims,-0.1,negative
30,30,gelisah takut kalahkatanya gibran pdip ketua pdip kendali si bocil kalah wibawa boss kalah kacung nya,Restless afraid of losing his eyes Gibran PDIP Chairperson of PDIP Control The Bocil Lose Word of Boss Lose his Kacung,-0.6,negative
31,31,helehhhh roasting komika baper roasting rakyat,Helehhh Roasting Komika Baper Roasting People,0.0,neutral
32,32,mahfud bilang sah hukum wakil loh ahli hukum bikin statement blunder terus kek kiper emyu,Mahfud said that the legal representatives of the Legal Experts made a blunder statement continue,0.2,positive
33,33,biar ganjar fokus mending biar menang presiden,Let Ganjar focus better to win the president,0.65,positive
34,34,panik si ganjarmaluin gibran pastimenang ama prabowo,Panic Si Ganjarmaluin Gibran Pastimenang Ama Prabowo,0.0,neutral
35,35,semangat ganjar lawan ketidakadilan,the spirit of Ganjar against injustice,0.0,neutral
36,36,takut kalah ,Afraid to lose,-0.6,negative
37,37,power orang lolos,Power people escape,0.0,neutral
38,38,kegelisanah ganjar kirim takut tarung si gemoy si bocil rusak demokrasi ambisi kuasa lurah ,Ganjar Ganjar Sending Fear of Tarung Si Gemoy the Bocil Damaged Democracy Ambition of the Lurah's Power,0.0,neutral
39,39,sabar orang mah coba,patient people try,0.0,neutral
40,40,dicatet mas ditanyain tetep mbulet cari benar,dicaget mas to be asked still still mbulet looking for right,0.2857142857142857,positive
41,41,pesan ganjar anis mundur pencapresan habis habisin uang rakyat,The message of Ganjar Anis withdrew the nomination after spending people's money,0.0,neutral
42,42,mending fokus ganjar,Better focus Ganjar,0.5,positive
43,43,takut kalah nyerang ya jumawa sombong sih,"afraid of losing to attack, yes, arrogant, arrogant",-0.6,negative
44,44,kasih hukum adil,Fair law,0.7,positive
45,45,lelah,tired,-0.4,negative
46,46,mohon mahfud md langsung beliau bertanyia tanyia ya,please mahfud md immediately he is tanyia,0.0,neutral
47,47,duh ngeri dendam kubu gp pbgb salah presiden gaduh gelisah ganggu jiwa pilih peringkat kalah yo wes ben,"Duh horrified the revenge of the GP PBGB stronghold, the wrong president of the rowdy, disturbed the soul to choose the ranking of losing yo wes ben",-0.4,negative
48,48,tpi jokowi mentor dunia politik knpa jdi gelisah ,"But Jokowi, the Mentor of the Political World, why is it nervous",0.0,neutral
49,49,tenang dukung mu,Relax support you,0.0,neutral
50,50,tenang dukung mu,Relax support you,0.0,neutral
51,51,coba ajar dlu om biar,try to teach you so,0.0,neutral
52,52,usik,usik,0.0,neutral
53,53,gusti mboten sare tidak ngurusin kandidat fokus visi misi drpd timbul kondisi enak semangat,Gusti Mboten Sare did not take care of the candidate focus on the vision and mission of DRPD arose a good condition,0.7,positive
54,54,sok kepedean ubah ,pretentious to change,-0.3,negative
55,55,sungguh aneh nyata,It's really strange,-0.05,negative
56,56,yuk fokus dukung ganjar ,Let's focus on supporting Ganjar,0.25,positive
57,57,sehat orang sehat,Healthy people healthy,0.5,positive
58,58,gelisah takut kalah,Restless afraid of losing,-0.6,negative
59,59,tetep fokus pakk,still focus pakk,0.0,neutral
60,60,gas bunuh penting rakyat,killing gas is important for the people,0.4,positive
61,61,usik ya seruduk bro mosok banteng mewek bongko ,"Usik, yes, bro, bro mosok bull memek bongko",0.0,neutral
62,62,usik feby putri,Usik Feby Putri,0.0,neutral
63,63,awas e ktp usik apa,Watch out what KTP is usik,0.0,neutral
64,64,panik,panic,0.0,neutral
65,65,cawapres beliau dah faham tuh,Vice president he already understood,0.0,neutral
66,66,iyanih aneh banget,Iyanih is so strange,-0.05,negative
67,67,mak banteng diem ya ngaruh,mak bull shut up,0.0,neutral
68,68,trusik knapa ngak sm atas partaidn knapa jg dgn sikap anak melempem thd oknum kader partaiada loh,then why isn't it over the party who is also with the attitude of the child sluggish to the party cadres,0.0,neutral
69,69,komennya jk gibran pasang,The comment is JK Gibran Install,0.0,neutral
70,70,paham domino gin maju boss,Understanding Domino Gin Maju Boss,0.0,neutral
71,71,dangkal,shallow,-0.3333333333333333,negative
72,72,semangat,Spirit,0.0,neutral
73,73,makane sinau,Eat Sinau,0.0,neutral
74,74,anak muda repot lawan politik,Young people are troublesome for political opponents,0.05,positive
75,75,jokowi mas apakata sptnya,"Jokowi Mas, what kind of",0.6,positive
76,76,usik takut kalah,Usik was afraid of losing,-0.6,negative
77,78,cacat hukum,legally flawed,-0.5,negative
78,79,si uban,The Uban,0.0,neutral
79,80,sarjana hukum ugm lulus sih,UGM Law graduate graduated,0.0,neutral
80,81,difikirkan warga gunung kendeng wadas kek pikir putus mk ,Thinking about the residents of Mount Kendeng Wadas Kek thinking about the MK,0.0,neutral
81,82,tidak ush takut visi misi gagas bagus rakyat milih tidak ush pakai prihatin tangan rakyat usaha uu ampas aset bikin statement ,"not afraid of the vision and mission of the good idea of ​​the people, not to use the people's concerned",0.5,positive
82,83,anak president,president child,0.0,neutral
83,84,galau was was takut kalah ,confusion was afraid of losing,-0.6,negative
84,85,ganjar sarjana hukum persis hukum,Ganjar Bachelor of Law Persis Law,0.0,neutral
85,86,potensi curang,cheating potential,0.0,neutral
86,87,lemah lo broooo cemeeeen cupuuuu too bad titik jatuh pdip youll be part of it,LOOK LO BROOOO CEMEEEEN CUPUUUUU TO BAD FALL POINT,-0.6999999999999998,negative
87,88,mental dab,Mental Dab,-0.1,negative
88,89,kuasa intervensi yudikatif kalimat,judicial intervention power sentence,0.0,neutral
89,90,nang jare banteng lha nang hasto nang rudy nang mbok koyo jokowi hujat fitnah beliau tetep senyum santai,Nang Jare Banteng Lha Nang Hasto Nang Rudy Nang Mbok Koyo Jokowi Hujat Slander He still smiles casually,-0.5000000000000001,negative
90,91,bahaya iki njar,Dangers of Iki Njar,0.0,neutral
91,92,sarjana hukum ,Bachelor of Law,0.0,neutral
